variant,block,key,year,value,material,region,before
r79_recovery_loops_low,sd_parameters,collection_price_response_gain,2020,0.28,,,0.28
r79_recovery_loops_low,sd_parameters,collection_price_response_gain,2025,0.30,,,
r79_recovery_loops_low,sd_parameters,collection_price_response_gain,2040,0.31,,,
r79_recovery_loops_medium,sd_parameters,collection_price_response_gain,2020,0.28,,,0.28
r79_recovery_loops_medium,sd_parameters,collection_price_response_gain,2025,0.34,,,
r79_recovery_loops_medium,sd_parameters,collection_price_response_gain,2040,0.35,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2020,0.28,,,0.28
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2025,0.38,,,
r79_recovery_loops_high,sd_parameters,collection_price_response_gain,2040,0.40,,,
r79_recovery_loops_low,mfa_parameters,collection_rate,2020,0.90,,,0.90
r79_recovery_loops_low,mfa_parameters,collection_rate,2025,0.91,,,
r79_recovery_loops_low,mfa_parameters,collection_rate,2035,0.93,,,
r79_recovery_loops_low,mfa_parameters,collection_rate,2050,0.94,,,
r79_recovery_loops_low,mfa_parameters,collection_rate,2100,0.95,,,
r79_recovery_loops_low,mfa_parameters,sorting_yield,2020,0.86,,,0.86
r79_recovery_loops_low,mfa_parameters,sorting_yield,2025,0.88,,,
r79_recovery_loops_low,mfa_parameters,sorting_yield,2035,0.90,,,
r79_recovery_loops_low,mfa_parameters,sorting_yield,2050,0.91,,,
r79_recovery_loops_low,mfa_parameters,sorting_yield,2100,0.92,,,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2020,0.90,,,0.90
r79_recovery_loops_medium,mfa_parameters,collection_rate,2025,0.92,,,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2035,0.95,,,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2050,0.97,,,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2100,0.98,,,
r79_recovery_loops_medium,mfa_parameters,sorting_yield,2020,0.86,,,0.86
r79_recovery_loops_medium,mfa_parameters,sorting_yield,2025,0.90,,,
r79_recovery_loops_medium,mfa_parameters,sorting_yield,2035,0.94,,,
r79_recovery_loops_medium,mfa_parameters,sorting_yield,2050,0.96,,,
r79_recovery_loops_medium,mfa_parameters,sorting_yield,2100,0.97,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2020,0.90,,,0.90
r79_recovery_loops_high,mfa_parameters,collection_rate,2025,0.93,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.97,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2050,0.99,,,
r79_recovery_loops_high,mfa_parameters,collection_rate,2100,1.00,,,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2020,0.86,,,0.86
r79_recovery_loops_high,mfa_parameters,sorting_yield,2025,0.92,,,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2035,0.97,,,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2050,0.99,,,
r79_recovery_loops_high,mfa_parameters,sorting_yield,2100,1.00,,,
r_portfolio_combined,mfa_parameters,collection_rate,2020,0.90,,,0.90
r_portfolio_combined,mfa_parameters,collection_rate,2025,0.92,,,
r_portfolio_combined,mfa_parameters,collection_rate,2035,0.95,,,
r_portfolio_combined,mfa_parameters,collection_rate,2050,0.96,,,
r_portfolio_combined,mfa_parameters,collection_rate,2100,0.97,,,
r_portfolio_combined,mfa_parameters,sorting_yield,2020,0.86,,,0.86
r_portfolio_combined,mfa_parameters,sorting_yield,2025,0.90,,,
r_portfolio_combined,mfa_parameters,sorting_yield,2035,0.94,,,
r_portfolio_combined,mfa_parameters,sorting_yield,2050,0.95,,,
r_portfolio_combined,mfa_parameters,sorting_yield,2100,0.96,,,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2035,0.96,,EU27,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.98,,EU27,
r79_recovery_loops_low,mfa_parameters,collection_rate,2035,0.92,,RoW,
r79_recovery_loops_medium,mfa_parameters,collection_rate,2035,0.94,,RoW,
r79_recovery_loops_high,mfa_parameters,collection_rate,2035,0.96,,RoW,
